id,venue_name,venue_id,venue_url,venue_img,venue_email,venue_phone,venue_website,city_name,country_name,country_geo_id,city_geo_id,venue_street_address,venue_locality,region_name,venue_postal_code,venue_cost,venue_rating,venue_review_count,status,venue_tcreate,venue_long,venue_lat,venue_tmodified
90431,Questrooms - Room Escape Game,7155449,/Attraction_Review-g189852-d7155449-Reviews-Questrooms_Room_Escape_Game-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/06/da/97/70/questrooms.jpg,,+46 8 543 544 02,http://questrooms.se,Tullinge,Sweden,189806,7254888,http://questrooms.se,Stockholm,Stockholm County,112 39,,4.5,284,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90432,Escape Stories,8594090,/Attraction_Review-g189852-d8594090-Reviews-Escape_Stories-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/09/8c/1c/d6/escape-stories.jpg,,+46 8 121 555 60,http://www.escapestories.com/,Tullinge,Sweden,189806,7254888,http://www.escapestories.com/,Stockholm,Stockholm County,111 20,,5.0,409,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90433,Fox in a Box Stockholm,7149393,/Attraction_Review-g189852-d7149393-Reviews-Fox_in_a_Box_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/0a/ce/32/27/roomescape-stockholm.jpg,,+46 70 979 61 31,http://www.foxinabox.se,Tullinge,Sweden,189806,7254888,http://www.foxinabox.se,Stockholm,Stockholm County,,,5.0,743,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90434,Exit Games Stockholm,8141618,/Attraction_Review-g189852-d8141618-Reviews-Exit_Games_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/12/5f/b3/6f/can-you-escape-within.jpg,,+46 8 23 23 13,http://www.exitgames.se,Tullinge,Sweden,189806,7254888,http://www.exitgames.se,Stockholm,Stockholm County,111 29,,4.5,390,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90435,Twisted Keys Escape Room Stockholm,15112926,/Attraction_Review-g189852-d15112926-Reviews-Twisted_Keys_Escape_Room_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/16/ec/57/cd/coming-soon-pirates-the.jpg,,+46 76 118 55 12,http://www.twistedkeys.com/,Tullinge,Sweden,189806,7254888,http://www.twistedkeys.com/,Stockholm,Stockholm County,17159,,5.0,38,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90436,Quezzle Escape Room,8039138,/Attraction_Review-g189852-d8039138-Reviews-Quezzle_Escape_Room-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/08/1c/8d/66/quezzle.jpg,,+46 70 090 54 00,http://quezzle.se,Tullinge,Sweden,189806,7254888,http://quezzle.se,Stockholm,Stockholm County,113 58,,4.5,185,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90437,Riddle Room,12630201,/Attraction_Review-g189852-d12630201-Reviews-Riddle_Room-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/10/06/1e/1e/riddle-room.jpg,,+46 70 433 25 10,http://riddleroom.se,Tullinge,Sweden,189806,7254888,http://riddleroom.se,Stockholm,Stockholm County,113 37,,4.5,22,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90438,Molinders Mysterium,15111037,/Attraction_Review-g189818-d15111037-Reviews-Molinders_Mysterium-Umea_Vasterbotten_County.html,https://media-cdn.tripadvisor.com/media/photo-s/16/3a/d2/a2/boka-pa-molindersse.jpg,,,http://www.molinders.se,Holmoen,Sweden,189806,13230166,http://www.molinders.se,Umea,Vasterbotten County,903 26,,5.0,8,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90439,Rummet i Borlange,12088088,/Attraction_Review-g226896-d12088088-Reviews-Rummet_i_Borlange-Borlange_Dalarna_County.html,https://media-cdn.tripadvisor.com/media/photo-s/0e/7d/b3/71/aventyrsrummet.jpg,,+46 76 686 12 97,http://www.rummet.xyz,Borlange,Sweden,189806,226896,http://www.rummet.xyz,Borlange,Dalarna County,78434,,5.0,13,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90440,Prison Island Borlange,15329621,/Attraction_Review-g226896-d15329621-Reviews-Prison_Island_Borlange-Borlange_Dalarna_County.html,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,,+46 243 25 10 40,http://www.prisonborlange.se,Borlange,Sweden,189806,226896,http://www.prisonborlange.se,Borlange,Dalarna County,,,,,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90441,Exit Games Stockholm,8141618,/Attraction_Review-g189852-d8141618-Reviews-Exit_Games_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/12/5f/b3/6f/can-you-escape-within.jpg,,+46 8 23 23 13,http://www.exitgames.se,Nacka,Sweden,189806,672753,http://www.exitgames.se,Stockholm,Stockholm County,111 29,,4.5,390,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90442,Fox in a Box Stockholm,7149393,/Attraction_Review-g189852-d7149393-Reviews-Fox_in_a_Box_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/0a/ce/32/27/roomescape-stockholm.jpg,,+46 70 979 61 31,http://www.foxinabox.se,Nacka,Sweden,189806,672753,http://www.foxinabox.se,Stockholm,Stockholm County,,,5.0,743,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90443,Escape Stories,8594090,/Attraction_Review-g189852-d8594090-Reviews-Escape_Stories-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/09/8c/1c/d6/escape-stories.jpg,,+46 8 121 555 60,http://www.escapestories.com/,Nacka,Sweden,189806,672753,http://www.escapestories.com/,Stockholm,Stockholm County,111 20,,5.0,409,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90444,Questrooms - Room Escape Game,7155449,/Attraction_Review-g189852-d7155449-Reviews-Questrooms_Room_Escape_Game-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/06/da/97/70/questrooms.jpg,,+46 8 543 544 02,http://questrooms.se,Nacka,Sweden,189806,672753,http://questrooms.se,Stockholm,Stockholm County,112 39,,4.5,284,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90445,Quezzle Escape Room,8039138,/Attraction_Review-g189852-d8039138-Reviews-Quezzle_Escape_Room-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/08/1c/8d/66/quezzle.jpg,,+46 70 090 54 00,http://quezzle.se,Nacka,Sweden,189806,672753,http://quezzle.se,Stockholm,Stockholm County,113 58,,4.5,185,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90446,Twisted Keys Escape Room Stockholm,15112926,/Attraction_Review-g189852-d15112926-Reviews-Twisted_Keys_Escape_Room_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/16/ec/57/cd/coming-soon-pirates-the.jpg,,+46 76 118 55 12,http://www.twistedkeys.com/,Nacka,Sweden,189806,672753,http://www.twistedkeys.com/,Stockholm,Stockholm County,17159,,5.0,38,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90447,Escape Rooms Sweden,13554916,/Attraction_Review-g189852-d13554916-Reviews-Escape_Rooms_Sweden-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/12/2f/7a/fd/escape-rooms-sweden.jpg,,+46 72 011 61 59,http://www.escaperoomssweden.com,Nacka,Sweden,189806,672753,http://www.escaperoomssweden.com,Stockholm,Stockholm County,111 43,,3.0,31,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90448,Riddle Room,12630201,/Attraction_Review-g189852-d12630201-Reviews-Riddle_Room-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/10/06/1e/1e/riddle-room.jpg,,+46 70 433 25 10,http://riddleroom.se,Nacka,Sweden,189806,672753,http://riddleroom.se,Stockholm,Stockholm County,113 37,,4.5,22,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90449,PANIQ-ROOM Stockholm,15683388,/Attraction_Review-g189852-d15683388-Reviews-PANIQ_ROOM_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/15/f2/b8/df/saw.jpg,,+46 73 732 45 97,http://paniqescaperoom.se,Nacka,Sweden,189806,672753,http://paniqescaperoom.se,Stockholm,Stockholm County,11362,,4.0,5,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90450,CtEscape,13427342,/Attraction_Review-g189852-d13427342-Reviews-CtEscape-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/12/4b/dc/c6/the-players-are-real.jpg,,+46 8 651 59 50,http://www.ctescape.se/,Nacka,Sweden,189806,672753,http://www.ctescape.se/,Stockholm,Stockholm County,113 28,,5.0,2,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90451,Escape House Lund,12646823,/Attraction_Review-g189838-d12646823-Reviews-Escape_House_Lund-Lund_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/10/b8/e0/8a/anta-schackmastarens.jpg,,+46 46 14 95 00,http://www.escapehouse.se/lund,Stehag,Sweden,189806,4471934,http://www.escapehouse.se/lund,Lund,Skane County,222 22,,4.5,26,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90452,Fox in a box Escape Room,14548077,/Attraction_Review-g189839-d14548077-Reviews-Fox_in_a_box_Escape_Room-Malmo_Skane_County.html,https://media-cdn.tripadvisor.com/media/photo-s/17/29/b4/c5/prison-break.jpg,,+46 73 704 57 63,http://www.foxinaboxmalmo.com,Stehag,Sweden,189806,4471934,http://www.foxinaboxmalmo.com,Malmo,Skane County,21135,,5.0,119,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90453,Fox in a Box Stockholm,7149393,/Attraction_Review-g189852-d7149393-Reviews-Fox_in_a_Box_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/0a/ce/32/27/roomescape-stockholm.jpg,,+46 70 979 61 31,http://www.foxinabox.se,Varmdo,Sweden,189806,1187888,http://www.foxinabox.se,Stockholm,Stockholm County,,,5.0,743,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90454,Escape Stories,8594090,/Attraction_Review-g189852-d8594090-Reviews-Escape_Stories-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/09/8c/1c/d6/escape-stories.jpg,,+46 8 121 555 60,http://www.escapestories.com/,Varmdo,Sweden,189806,1187888,http://www.escapestories.com/,Stockholm,Stockholm County,111 20,,5.0,409,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90455,Exit Games Stockholm,8141618,/Attraction_Review-g189852-d8141618-Reviews-Exit_Games_Stockholm-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/12/5f/b3/6f/can-you-escape-within.jpg,,+46 8 23 23 13,http://www.exitgames.se,Varmdo,Sweden,189806,1187888,http://www.exitgames.se,Stockholm,Stockholm County,111 29,,4.5,390,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90456,Questrooms - Room Escape Game,7155449,/Attraction_Review-g189852-d7155449-Reviews-Questrooms_Room_Escape_Game-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/06/da/97/70/questrooms.jpg,,+46 8 543 544 02,http://questrooms.se,Varmdo,Sweden,189806,1187888,http://questrooms.se,Stockholm,Stockholm County,112 39,,4.5,284,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
90457,Quezzle Escape Room,8039138,/Attraction_Review-g189852-d8039138-Reviews-Quezzle_Escape_Room-Stockholm.html,https://media-cdn.tripadvisor.com/media/photo-s/08/1c/8d/66/quezzle.jpg,,+46 70 090 54 00,http://quezzle.se,Varmdo,Sweden,189806,1187888,http://quezzle.se,Stockholm,Stockholm County,113 58,,4.5,185,2,2019-06-28 14:06:48,0.0,0.0,2019-06-28 14:06:48
